riddle,answer
"A man is incarcerated in prison, and as his punishment he has to carry a one tonne bag of sand backwards and forwards across a field the size of a football pitch.  What is the one thing he can put in it to make it lighter?",hole
What gets smaller as it gets fuller?,hole
"Whats weightless, visible to the naked eye, and when you put it in a barrel of water it will make the barrel lighter in weight. ?",hole
"what is weightless, and colorless. . but when put into a barrel the barrel weighs less.  what am i?",hole
"What is lighter then a feather, can be seen by the naked eye, and when you put it into a barral, it makes it lighter?",hole
"I am always Hungery, I must always be Fed.  the finger i lick will soon turn red.  What am I?",flame
i have no life to live or die i have no legs to dance and no lungs to breathe yet i do all three what am i,flame
You can't hear me but I'm not dead.  Who am I ??,silence
What shrinks during the day but grows during the night?,silence
Say my name and I am no more.   What am I?,silence
No Sooner Spoken Than Broken  What Is It?,silence
"What's so fragile that even when you say its name, you break it?",silence
"Weight in my belly,   Trees on my back,   Nails in my ribs,   Feet I do lack.    What am I?",ship
what is half dry and half wet and it carries something and is being carred at the same time. ,ship
"I fly to any foreign parts,      Assisted by my spreading wings:      My body holds an hundred hearts,      Nay, I will tell you stranger things:       When I am not in haste I ride,      And then I mend my pace anon;      I issue fire out from my side:--      Ye witty youths, this riddle con. ",ship
I twist and turn and leaves a loop.  What am I?,shoelace
"the old one runs forever, it has no voice at all.  It had no lungs or throat, but it can still make a roaring call.  What is it?",waterfall
What kind of fall that you might die from?,waterfall
"Bright as diamonds, Loud as thunder, Never still, A thing of wonder.  What am I?",waterfall
"I run, though I have no legs to be seen.  I possess no heat, though I do have steam.  I have no voice to let words out, but from far away you can still he me shout.   What am I?",waterfall
"Six legs, two heads, two hands, one long nose yet i use only four legs wherever i go what am i ??",horseman
"What does no man want, yet no man want to lose?",job
What can be heard and caught but never be seen?,remark
"I light on fire, I drip but I burn.  What am I?",candle
If you allow me to live I shall not live long.   But if you kill me I shall live longer,candle
"I cry, yet I have no eyes.  Darkness follows me, yet you still see me.  What am I?",candle
"Little Nanncy Etticoat,  In a white petticoat,  And a red nose.   The longer she stands,  The sharter she grows. ",candle
"I shed my skin for you, in darkness I guide you through.  To use me for what I am combine me with God's wrath or hand. ",candle
I am easy to get into but hard to get out of.   What am I?,trouble
I can be crystal clear But also pitch black.  people like me when i am as clear as the fresh air.  You can find me just about everywhere.  Besides the desert.  im very important to have.  any living thing can not live without me.  in very hot places im so desirable.  i come in jug containers or you can find me running through pipes.  What am i?,water
"Three lives have I.    Gentle enough to soothe the skin,   Light enough to caress the sky,   Hard enough to crack rocks.   What am I?",water
What can you put into a glass but can't take out?,water
"what is clear, but easily gets dirty.  it is sometimes hard, but mostly not.  somethings can live in it, but if we do well die.  it might not sound important, but yes it is, and without it there will bbe no life. ",water
Say silk five times fast.    Spell silk.    What do cows drink?,water
"Black within and red without,  With four corners round and about.   What is it?",chimney
"I'm green most of the time  Multicolored sometimes, gone others  I hate the cold  I have many twin brothers and sisters  I have one parent with many arms  My parent can't move.   What am I?",leaves
an i dance and i am all over the world,leaves
"I am around when the days get short, and the nights long.  I am everywhere that you can see.  I scream undertoe when you walk over me.  What am I?",leaves
"Walk on the living, they don't even mumble.  Walk on the dead, they mutter and grumble.  What are they?",leaves
I work when i play and play when i work what am i ??,musician
The older they are the less wrinkles they have. ,tires
"What always was, yet I can never be?",yesterday
Whats the one thing we have all seen and we'll never see again?,yesterday
What did Sir Lancelot wear to bed?,knight gown
"I am the heart that does not beat.  If cut, I bleed without blood.  I can fly, but have no wings.  I can float, but have no fins.  I can sing, but have no mouth. ",wood
I am the center of gravity  and the start of all views.   I am in lives but not in deaths.   I am similar to see   even though I am less than three,v
"With thieves I consort,   With the vilest, in short,   I'm quite at ease in depravity;   Yet all divines use me,   And savants can't lose me,   For I am the center of gravity",v
What is the center of gravity?,v
They cut doors in half and wear wooden shoes. ,dutch
You throw away the outside then cook the inside  Then you eat the outside then throw away the inside               What am I?,corn
What can be broken without touching it?,promise
What can you break without hitting or dropping it?,promise
You can't keep this without giving it first?,promise
"The cost of making only the maker knows,   Valueless if bought, but sometimes traded.    A poor man may give one as easily as a king.    When one is broken pain and deceit are assured. ",promise
What do you give to others but still try and keep?,promise
"Two bodies have I,   though both joined in one.    The more still I stand,   the quicker I run.     What am I?",hourglass
"My first is a part of the day,   My last a conductor of light, My whole to take measure of time, Is useful by day and by night.  What am I?",hourglass
A sundial is the timepiece with the least amount of moving parts.   What is the timepiece with the greatest amount of moving parts?,hourglass
What is black and white and read all over?,newspaper
